Question	O	O
-	O	O
16148575	O	O
,	O	O
answer	O	O
-	O	O
20454885	O	O
For	O	O
everybody	O	O
who	O	O
codes	O	O
Java	O	O
for	O	O
Android	O	O
devices	O	O
and	O	O
ends	O	O
up	O	O
here	O	O
:	O	O
use	O	O
SparseArray	B-api_mention	B-api_mention
for	O	O
better	O	O
performance	O	O
private	O	O
final	O	O
SparseArray	B-api_mention	B-api_mention
<	I-api_mention	I-api_mention
T	I-api_mention	I-api_mention
>	I-api_mention	I-api_mention
myMap	O	O
=	O	O
new	O	O
SparseArray	B-api_mention	B-api_mention
<	I-api_mention	I-api_mention
T	I-api_mention	I-api_mention
>	I-api_mention	I-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
;	O	O
with	O	O
this	O	O
you	O	O
can	O	O
use	O	O
int	O	O
instead	O	O
of	O	O
Integer	B-api_mention	B-api_mention
like	O	O
#	O	O
pre	O	O
Question	O	O
-	O	O
16252269	O	O
,	O	O
answer	O	O
-	O	O
30210459	O	O
Collections	B-api_mention	B-api_mention
.	I-api_mention	I-api_mention
sort	I-api_mention	I-api_mention
allows	O	O
you	O	O
to	O	O
pass	O	O
an	O	O
instance	O	O
of	O	O
a	O	O
Comparator	B-api_mention	B-api_mention
which	O	O
defines	O	O
the	O	O
sorting	O	O
logic	O	O
.	O	O
So	O	O
instead	O	O
of	O	O
sorting	O	O
the	O	O
list	O	O
in	O	O
natural	O	O
order	O	O
and	O	O
then	O	O
reversing	O	O
it	O	O
,	O	O
one	O	O
can	O	O
simply	O	O
pass	O	O
Collections	B-api_mention	B-api_mention
.	I-api_mention	I-api_mention
reverseOrder	I-api_mention	I-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
to	O	O
sort	O	O
in	O	O
order	O	O
to	O	O
sort	O	O
the	O	O
list	O	O
in	O	O
reverse	O	O
order	O	O
:	O	O
#	O	O
pre	O	O
As	O	O
mentioned	O	O
by	O	O
@	O	O
Marco13	O	O
,	O	O
apart	O	O
from	O	O
being	O	O
more	O	O
idiomatic	O	O
(	O	O
and	O	O
possibly	O	O
more	O	O
efficient	O	O
)	O	O
,	O	O
using	O	O
the	O	O
reverse	O	O
order	O	O
comparator	O	O
makes	O	O
sure	O	O
that	O	O
the	O	O
sort	O	O
is	O	O
stable	O	O
(	O	O
meaning	O	O
that	O	O
the	O	O
order	O	O
of	O	O
elements	O	O
will	O	O
not	O	O
be	O	O
changed	O	O
when	O	O
they	O	O
are	O	O
equal	O	O
according	O	O
to	O	O
the	O	O
comparator	O	O
,	O	O
whereas	O	O
reversing	O	O
will	O	O
change	O	O
the	O	O
order	O	O
)	O	O
Question	O	O
-	O	O
8579657	O	O
,	O	O
answer	O	O
-	O	O
35931153	O	O
If	O	O
you	O	O
directly	O	O
call	O	O
run	B-api_mention	B-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
method	O	O
,	O	O
you	O	O
are	O	O
not	O	O
using	O	O
multi	O	O
-	O	O
threading	O	O
feature	O	O
since	O	O
run	B-api_mention	B-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
method	O	O
is	O	O
executed	O	O
as	O	O
part	O	O
of	O	O
caller	O	O
thread	O	O
.	O	O
If	O	O
you	O	O
call	O	O
start	B-api_mention	B-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
method	O	O
on	O	O
Thread	B-api_mention	B-api_mention
,	O	O
the	O	O
Java	O	O
Virtual	O	O
Machine	O	O
will	O	O
call	O	O
run	B-api_mention	B-api_mention
(	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
method	O	O
and	O	O
two	O	O
threads	O	O
will	O	O
run	O	O
concurrently	O	O
-	O	O
Current	O	O
Thread	B-api_mention	B-api_mention
(	O	I-api_mention
main	O	I-api_mention
(	O	I-api_mention
args	O	I-api_mention
)	O	I-api_mention
in	O	O
your	O	O
example	O	O
)	O	O
and	O	O
Other	O	O
Thread	B-api_mention	B-api_mention
(	O	O
Runnable	B-api_mention	B-api_mention
r1	O	O
in	O	O
your	O	O
example	O	O
)	O	O
.	O	O
Have	O	O
a	O	O
look	O	O
at	O	O
source	O	O
code	O	O
of	O	O
start	B-api_mention	B-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
method	O	O
in	O	O
Thread	B-api_mention	B-api_mention
class	O	O
#	O	O
pre	O	O
In	O	O
above	O	O
code	O	O
,	O	O
you	O	O
can	O	O
'	O	O
t	O	O
see	O	O
invocation	O	O
to	O	O
run	B-api_mention	B-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
method	O	O
.	O	O
private	O	O
native	O	O
void	O	O
start0	O	O
(	O	O
args	O	O
)	O	O
is	O	O
responsible	O	O
for	O	O
calling	O	O
run	B-api_mention	B-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
method	O	O
.	O	O
JVM	O	O
executes	O	O
this	O	O
native	O	O
method	O	O
.	O	O
Question	O	O
-	O	O
19431234	O	O
,	O	O
answer	O	O
-	O	O
23526153	O	O
Everything	O	O
is	O	O
here	O	O
:	O	O
#	O	O
a	O	O
The	O	O
answer	O	O
with	O	O
"	O	O
round	O	O
-	O	O
tripping	O	O
"	O	O
is	O	O
not	O	O
exact	O	O
:	O	O
when	O	O
you	O	O
do	O	O
LocalDateTime	B-api_mention	B-api_mention
ldt	O	O
=	O	O
LocalDateTime	B-api_mention	B-api_mention
.	I-api_mention	I-api_mention
ofInstant	I-api_mention	I-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
;	O	O
if	O	O
your	O	O
system	O	O
timezone	O	O
is	O	O
not	O	O
UTC	O	O
/	O	O
GMT	O	O
,	O	O
you	O	O
change	O	O
the	O	O
time	O	O
!	O	O
Question	O	O
-	O	O
16635398	O	O
,	O	O
answer	O	O
-	O	O
16635489	O	O
The	O	O
advantage	O	O
comes	O	O
into	O	O
account	O	O
when	O	O
the	O	O
operations	O	O
can	O	O
be	O	O
executed	O	O
in	O	O
parallel	O	O
.	O	O
(	O	O
See	O	O
#	O	O
a	O	O
-	O	O
the	O	O
section	O	O
about	O	O
internal	O	O
and	O	O
external	O	O
iteration	O	O
)	O	O
#	O	O
li	O	O
The	O	O
main	O	O
advantage	O	O
from	O	O
my	O	O
point	O	O
of	O	O
view	O	O
is	O	O
that	O	O
the	O	O
implementation	O	O
of	O	O
what	O	O
is	O	O
to	O	O
be	O	O
done	O	O
within	O	O
the	O	O
loop	O	O
can	O	O
be	O	O
defined	O	O
without	O	O
having	O	O
to	O	O
decide	O	O
if	O	O
it	O	O
will	O	O
be	O	O
executed	O	O
in	O	O
parallel	O	O
or	O	O
sequential	O	O
#	O	O
li	O	O
If	O	O
you	O	O
want	O	O
your	O	O
loop	O	O
to	O	O
be	O	O
executed	O	O
in	O	O
parallel	O	O
you	O	O
could	O	O
simply	O	O
write	O	O
joins	O	O
.	B-api_mention	B-api_mention
parallelStream	I-api_mention	I-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
.	I-api_mention	I-api_mention
forEach	I-api_mention	I-api_mention
(	I-api_mention	I-api_mention
args	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
;	O	O
You	O	O
will	O	O
have	O	O
to	O	O
write	O	O
some	O	O
extra	O	O
code	O	O
for	O	O
thread	O	O
handling	O	O
etc	O	O
.	O	O
Note	O	O
:	O	O
for	O	O
my	O	O
answer	O	O
I	O	O
assumed	O	O
joins	O	O
implementing	O	O
the	O	O
java	B-api_mention	B-api_mention
.	I-api_mention	I-api_mention
util	I-api_mention	I-api_mention
.	I-api_mention	I-api_mention
Stream	I-api_mention	I-api_mention
interface	O	O
.	O	O
If	O	O
joins	O	O
implements	O	O
only	O	O
the	O	O
java	B-api_mention	B-api_mention
.	I-api_mention	I-api_mention
util	I-api_mention	I-api_mention
.	I-api_mention	I-api_mention
Iterable	I-api_mention	I-api_mention
interface	O	O
this	O	O
is	O	O
no	O	O
longer	O	O
true	O	O
.	O	O
Question	O	O
-	O	O
28584669	O	O
,	O	O
answer	O	O
-	O	O
28590286	O	O
Since	O	O
Double	B-api_mention	B-api_mention
.	I-api_mention	I-api_mention
Nan	I-api_mention	I-api_mention
.	I-api_mention	I-api_mention
equals	I-api_mention	I-api_mention
(	I-api_mention	O
Double	I-api_mention	B-api_mention
.	I-api_mention	I-api_mention
NaN	I-api_mention	I-api_mention
)	I-api_mention	I-api_mention
was	O	O
mentioned	O	O
:	O	O
It	O	O
'	O	O
s	O	O
one	O	O
thing	O	O
what	O	O
should	O	O
happen	O	O
when	O	O
you	O	O
perform	O	O
arithmetic	O	O
and	O	O
compare	O	O
numbers	O	O
,	O	O
it	O	O
'	O	O
s	O	O
a	O	O
totally	O	O
different	O	O
thing	O	O
when	O	O
you	O	O
consider	O	O
how	O	O
objects	O	O
should	O	O
behave	O	O
.	O	O
Two	O	O
typical	O	O
problem	O	O
cases	O	O
are	O	O
:	O	O
Sorting	O	O
an	O	O
array	O	O
of	O	O
numbers	O	O
,	O	O
and	O	O
using	O	O
hash	O	O
values	O	O
to	O	O
implement	O	O
dictionaries	O	O
,	O	O
sets	O	O
,	O	O
and	O	O
so	O	O
on	O	O
.	O	O
There	O	O
are	O	O
two	O	O
exceptional	O	O
cases	O	O
where	O	O
the	O	O
normal	O	O
ordering	O	O
with	O	O
<	O	O
,	O	O
=	O	O
and	O	O
>	O	O
doesn	O	O
'	O	O
t	O	O
apply	O	O
:	O	O
One	O	O
case	O	O
is	O	O
that	O	O
+	O	O
0	O	O
=	O	O
-	O	O
0	O	O
and	O	O
the	O	O
other	O	O
is	O	O
that	O	O
NaN	O	O
≠	O	O
NaN	O	O
,	O	O
and	O	O
x	O	O
<	O	O
NaN	O	O
,	O	O
x	O	O
>	O	O
NaN	O	O
,	O	O
x	O	O
=	O	O
NaN	O	O
will	O	O
always	O	O
be	O	O
false	O	O
whatever	O	O
x	O	O
is	O	O
.	O	O
Sorting	O	O
algorithms	O	O
can	O	O
get	O	O
into	O	O
trouble	O	O
with	O	O
this	O	O
.	O	O
A	O	O
sorting	O	O
algorithm	O	O
may	O	O
assume	O	O
that	O	O
x	O	O
=	O	O
x	O	O
is	O	O
always	O	O
true	O	O
.	O	O
So	O	O
if	O	O
I	O	O
know	O	O
that	O	O
x	O	O
is	O	O
stored	O	O
in	O	O
an	O	O
array	O	O
and	O	O
look	O	O
for	O	O
it	O	O
,	O	O
I	O	O
might	O	O
not	O	O
do	O	O
any	O	O
bounds	O	O
check	O	O
because	O	O
the	O	O
search	O	O
for	O	O
it	O	O
must	O	O
find	O	O
something	O	O
.	O	O
Not	O	O
if	O	O
x	O	O
is	O	O
NaN	O	O
.	O	O
A	O	O
sorting	O	O
algorithm	O	O
may	O	O
assume	O	O
that	O	O
exactly	O	O
one	O	O
of	O	O
a	O	O
<	O	O
b	O	O
and	O	O
a	O	O
>	O	O
=	O	O
b	O	O
must	O	O
be	O	O
true	O	O
.	O	O
Not	O	O
if	O	O
one	O	O
is	O	O
NaN	O	O
.	O	O
So	O	O
a	O	O
naive	O	O
sorting	O	O
algorithm	O	O
may	O	O
crash	O	O
when	O	O
NaNs	O	O
are	O	O
present	O	O
.	O	O
You	O	O
'	O	O
d	O	O
have	O	O
to	O	O
decide	O	O
where	O	O
you	O	O
want	O	O
NaNs	O	O
to	O	O
end	O	O
up	O	O
when	O	O
sorting	O	O
the	O	O
array	O	O
,	O	O
